_id,description,image,name,price,vendor
645791c9e4ed3fc36045c6f2,"The Threshold 3-Piece Sofa Set is a stylish and comfortable seating arrangement for your living room. It includes a sofa, a loveseat, and an accent chair, all designed with a modern and sleek aesthetic. The set features high-quality upholstery with plush cushioning for optimum comfort. The sofa set is sturdy and durable, constructed with a solid wood frame and supported by sturdy legs. It is designed to withstand everyday use and is easy to maintain. With its neutral color palette, the Threshold 3-Piece Sofa Set seamlessly blends into various interior styles, making it a versatile addition to your home.",https://target.scene7.com/is/image/Target/GUEST_a20abd57-f1f1-4504-b22c-3d557f8f54de?wid=488&hei=488&fmt=pjpeg,Threshold 3-Piece Sofa Set,899.99,Target
645791fee4ed3fc36045c6f3,"The Project 62 Loring Writing Desk is a sleek and functional piece of furniture for your workspace. It features a minimalist design with clean lines and a contemporary look. The desk is constructed with a sturdy metal frame and a durable laminate top, providing both stability and style. It offers a spacious work surface that can accommodate a laptop, books, and other office essentials. The Project 62 Loring Writing Desk also includes two storage drawers, perfect for organizing your supplies and keeping your workspace clutter-free. Whether you're working from home or need a dedicated area for studying, this desk offers a practical and modern solution.",https://target.scene7.com/is/image/Target/GUEST_a180d95f-494d-40fe-99aa-477952f0ae1b?wid=488&hei=488&fmt=pjpeg,Project 62 Loring Writing Desk,149.99,Target
64579217e4ed3fc36045c6f4,"The Threshold Performance Sheet Set is designed to provide a luxurious and comfortable sleeping experience. Made from a blend of high-quality cotton and polyester, these sheets offer a soft and smooth feel against your skin. The set includes a fitted sheet, a flat sheet, and pillowcases, all crafted with attention to detail and quality. The fitted sheet has deep pockets to ensure a secure fit on your mattress. The Threshold Performance Sheet Set is available in a variety of colors and sizes, allowing you to find the perfect match for your bedroom decor. With its durable construction and wrinkle-resistant fabric, these sheets are easy to care for and maintain.",https://target.scene7.com/is/image/Target/GUEST_1dfde30e-870a-403f-a8fb-900cce895f8c?wid=488&hei=488&fmt=pjpeg,Threshold Performance Sheet Set,39.99,Target
6457922ee4ed3fc36045c6f5,"The Opalhouse Peacock Comforter Set is a stunning and eye-catching bedding ensemble. Inspired by the vibrant colors and patterns of peacock feathers, this set adds a touch of elegance and luxury to your bedroom. It includes a plush comforter and matching pillow shams, all made from soft and breathable materials to ensure a comfortable night's sleep. The comforter is generously filled with hypoallergenic polyester for warmth and coziness. The Opalhouse Peacock Comforter Set is designed with intricate detailing and rich colors, making it a focal point in your bedroom decor. Transform your space into a tranquil oasis with this beautiful and unique comforter set.",https://hip2save.com/wp-content/uploads/2021/04/Opalhouse-Amber-Reversible-Velvet-Peacock-Comforter-Sham-Set-1.jpg?resize=1024%2C768&strip=all,Opalhouse Peacock Comforter Set,79.99,Target
64579244e4ed3fc36045c6f6,"Archer Farms Colombian Coffee is a premium blend of 100% Arabica coffee beans sourced from the high-altitude regions of Colombia. Known for its rich flavor and smooth finish, this coffee offers a delicious and aromatic experience. The beans are carefully roasted to perfection, resulting in a medium-bodied brew with notes of chocolate and caramel. Archer Farms Colombian Coffee is available in whole bean or ground form, allowing you to choose your preferred brewing method. Whether you enjoy it black or with cream and sugar, this coffee is sure to delight your taste buds and satisfy your caffeine cravings.",https://cdn.vox-cdn.com/uploads/chorus_asset/file/21550139/ows_155327012163979.jpg,Archer Farms Colombian Coffee,9.99,Target
6457935ee4ed3fc36045c6f7,"Immerse yourself in exceptional sound quality with the Sony WH-1000XM4 Wireless Noise-Cancelling Headphones. These premium headphones feature industry-leading noise cancellation technology, blocking out distractions and allowing you to focus on your music. The advanced audio technology delivers rich and immersive sound, while the long battery life ensures extended listening sessions. With their comfortable and stylish design, the Sony WH-1000XM4 headphones are the perfect companion for music lovers on the go.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6408/6408357_rd.jpg,Sony WH-1000XM4 Wireless Noise-Cancelling Headphones,349.99,Best Buy
64579374e4ed3fc36045c6f8,"The Samsung 65-inch Class QLED Q70 Series 4K UHD Smart TV is a feature-packed television that delivers stunning visuals and smart capabilities. With its QLED technology, this TV produces vibrant colors, sharp contrasts, and impressive brightness levels, resulting in a lifelike and immersive viewing experience. The 4K UHD resolution ensures exceptional detail and clarity, bringing your favorite movies, shows, and games to life. The TV is equipped with a range of smart features, including built-in Wi-Fi, allowing you to stream content from popular apps like Netflix, Hulu, and YouTube. It also supports voice control, enabling you to navigate and control the TV using simple voice commands. The Samsung QLED Q70 Series TV is designed with a sleek and slim profile, complemented by a minimalist bezel, making it an attractive addition to any living room or entertainment area.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6331/6331762_sd.jpg,Samsung 65-inch Class QLED Q70 Series 4K UHD Smart TV,889.99,Best Buy
6457938be4ed3fc36045c6f9,"The Apple iPad Air is a powerful and versatile tablet that combines portability with impressive performance. Featuring a sleek design and a vibrant Retina display, this iPad offers a stunning visual experience for browsing, gaming, and productivity. The iPad Air is powered by Apple's A14 Bionic chip, delivering fast and efficient performance for multitasking, editing photos, and running demanding apps. It supports the Apple Pencil, allowing you to take notes, draw, and create with precision. The iPad Air also features Touch ID for secure authentication and Apple's advanced cameras for capturing high-quality photos and videos. With all-day battery life and a wide range of available apps and accessories, the Apple iPad Air is an excellent choice for those seeking a premium tablet experience.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5985/5985624_sd.jpg,Apple iPad Air,599.99,Best Buy
645793a3e4ed3fc36045c6fa,"The Dyson Cyclone V10 Animal Cord-Free Stick Vacuum is a high-performance cleaning tool designed to make your household chores easier and more efficient. This cord-free vacuum offers powerful suction and advanced cyclone technology, capturing fine dust and debris from both carpets and hard floors. It features a versatile design that easily transforms into a handheld vacuum for cleaning furniture, stairs, and tight spaces. The V10 Animal is equipped with a hygienic bin emptying system, allowing you to dispose of dirt and dust with a simple push of a button. The vacuum comes with multiple attachments for different cleaning tasks, including a motorized brush head for deep cleaning pet hair. With its lightweight and ergonomic design, the Dyson Cyclone V10 Animal provides a hassle-free cleaning experience.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6172/6172783_sd.jpg,Dyson Cyclone V10 Animal Cord-Free Stick Vacuum,499.99,Best Buy
645793bde4ed3fc36045c6fb,"The LG 27-inch UltraGear QHD IPS Gaming Monitor is a high-quality display designed to enhance your gaming experience. With its QHD resolution and IPS panel, this monitor delivers crisp visuals and vibrant colors, ensuring a detailed and immersive gaming environment. It features a fast response time and a high refresh rate, reducing motion blur and providing smooth gameplay. The monitor supports AMD FreeSync and NVIDIA G-SYNC technologies, minimizing screen tearing and stuttering for seamless graphics. It also boasts a range of gaming-centric features such as Black Stabilizer for enhanced visibility in dark scenes and customizable gaming modes for optimized settings. The LG UltraGear Gaming Monitor offers a sleek and ergonomic design with adjustable height and tilt options, allowing you to find the perfect viewing angle for extended gaming sessions. It also includes multiple connectivity options, including DisplayPort and HDMI, ensuring compatibility with a variety of gaming consoles and PCs. Whether you're a casual gamer or a competitive player, the LG 27-inch UltraGear QHD IPS Gaming Monitor provides the performance and visuals needed for an immersive gaming experience.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6437/6437476cv13d.jpg,LG 27-inch UltraGear QHD IPS Gaming Monitor,399.99,Best Buy
